country,total_paintings
USA,2672
"United Kingdom",643
Netherlands,471
France,371
Spain,196
Russia,164
Germany,25
Switzerland,3
Hungary,1
Brazil,1
Israel,1
Australia,1
Italy,1
Japan,1
Norway,1
Czechia,1
